X,Y,FID,objectid,provincia,municipio,localidad,codigo_po,direccion,margen,longitud,latitud,precio_gas,precio_g_1,precio_g_2,precio_bio,precio_nue,precio_b_1,f__ester_,f__bioalco,precio_g_3,precio_g_4,precio_g_5,precio_g_6,rotulo,tipo_venta,rem_,horario,horario00,z,fecha
-5.668472,43.534333,71,6211619,ASTURIAS,GIJÓN,GIJON,33208,"CALLE FERNANDEZ LADREDA, 45",D,-5.668472,43.534333,1.439000,1.339,0, ,1.409000, , , ,1.559000, , , ,REPSOL,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00, ,2019/04/29 00:00:00+00
-5.638167,43.541917,72,6211620,ASTURIAS,GIJÓN,GIJON,33203,CARRETERA AS-247 KM. 1,D,-5.638167,43.541917,1.409000,1.309,0, , , , , , , , , ,WASHMAX,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.643306,43.532028,73,6211621,ASTURIAS,GIJÓN,GIJON,33204,CARRETERA VIESQUES KM. S/N,D,-5.643306,43.532028,1.439000,1.339,0, , , , , , , , , ,REPSOL,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00, ,2019/04/29 00:00:00+00
-5.654861,43.528778,74,6211622,ASTURIAS,GIJÓN,GIJON,33209,CARRETERA AS-248 KM. 20,I,-5.654861,43.528778,1.429000,1.329,0, ,1.399000, , , ,1.549000, , , ,REPSOL,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.696972,43.544917,75,6211623,ASTURIAS,GIJÓN,GIJON,33212,"AVENIDA EDUARDO CASTRO, 92",D,-5.696972,43.544917,1.307000,1.199,0, ,1.244000, , , , , , , ,AUTONET&OIL,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.695444,43.543167,76,6211624,ASTURIAS,GIJÓN,GIJON,33212,"AVENIDA PRINCIPE DE ASTURIAS, 78",D,-5.695444,43.543167,1.399000,1.309,0, ,1.369000, , , ,1.514000, , , ,CEPSA,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.694139,43.547972,77,6211625,ASTURIAS,GIJÓN,GIJON,33212,"POLIGONO CENTRO DE ALMACENAMIENTO GALP MUSEL GIJÓN, SN",N,-5.694139,43.547972,1.329000,1.229,0, , , , , , , , , ,GALP,P,OM,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.703389,43.538222,78,6211626,ASTURIAS,GIJÓN,GIJON,33212,"AVENIDA DE LA ARGENTINA, S/N",N,-5.703389,43.538222,1.429000,1.279,0, ,1.339000, , , , , , , ,GALP,P,OM,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.677944,43.508861,79,6211627,ASTURIAS,GIJÓN,GIJON,33211,"AVENIDA ROCES, N",N,-5.677944,43.508861,1.257000,1.159,0, ,1.214000, , , , , , , ,BALLENOIL,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.684722,43.521111,80,6211628,ASTURIAS,GIJÓN,GIJON,33211,"AVENIDA CONSTITUCION, 220",D,-5.684722,43.521111,1.439000,1.339,0, ,1.409000, , , ,1.559000, , , ,REPSOL,P,OM,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.7075,43.529889,81,6211629,ASTURIAS,GIJÓN,GIJON,33211,"POLIGONO LOS CAMPONES INTERS. AS-19 (PARC.1 Y 4) (TREMAÑES-CARRETERA), S/N",D,-5.7075,43.529889,1.439000,1.339,0, ,1.419000, , , ,1.559000, , , ,REPSOL,P,OM,L-D: 06:00-00:00,L-D: 06:00-00:00, ,2019/04/29 00:00:00+00
-5.680167,43.507444,82,6211630,ASTURIAS,GIJÓN,GIJON,33211,"POLIGONO DE ROCES, Nº 5 - CARRETERA CARBONERA,, 2230",D,-5.680167,43.507444,1.269000,1.169,0, , , , , , , , , ,LA COOPERATIVA,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-5.711889,43.525361,83,6211631,ASTURIAS,GIJÓN,GIJON,33211,"AVENIDA DE LA METALURGIA, S/N",D,-5.711889,43.525361,1.369000,1.269,0, , , , , ,1.489000, , , ,SARAS,P,OM,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
