provincia,municipio,localidad,codigo_po,direccion,longitud,latitud
ASTURIAS,NORENA,NORENA,33180,"POLIGONO LA BARREDA PARCELA 1a IZQUIERDA, 1",-5.718111,43.389472
ASTURIAS,NORENA,NORENA,33180,"AVENIDA OVIEDO, SN",-5.720416999999999,43.389278000000004
ASTURIAS,OVIEDO,OVIEDO,33010,"CL LA TENDERINA BAJA, S.N.",-5.832528,43.365361
ASTURIAS,OVIEDO,OVIEDO,33001,AUTOPISTA A-66 KM. 33,-5.869306,43.340556
ASTURIAS,OVIEDO,OVIEDO,33001,"CALLE GENERAL ELORZA, 30",-5.843889,43.366778000000004
ASTURIAS,OVIEDO,OVIEDO,33006,"CALLE BUENAVISTA, SN",-5.864972,43.359444
ASTURIAS,OVIEDO,OVIEDO,33006,CARRETERA N-634 KM. 409,-5.876666999999999,43.353806
ASTURIAS,OVIEDO,OVIEDO,33006,"AVENIDA BUENAVISTA, SN",-5.865028,43.359389
ASTURIAS,OVIEDO,CERDENO,33010,CARRETERA NACIONAL 634 KM. 406,-5.815778,43.371139
ASTURIAS,OVIEDO,COLLOTO,33010,"POLIGONO ESPIRITU SANTO, PARCELA, 17 (N-634 SANTANDER OVIEDO km 401,7)",-5.805583,43.377361
ASTURIAS,OVIEDO,OVIEDO,33011,"PLAZA RUIZ DE LA PENA, S/N (AS-18 km 0,1)",-5.837639,43.371139
ASTURIAS,OVIEDO,OVIEDO,33011,"CL BA. PONTON DE VAQUEROS, S.N.",-5.8325830000000005,43.378028
ASTURIAS,OVIEDO,OVIEDO,33011,"AVDA GIJON 147 (CTRA AS 18 km 2,26)",-5.818556,43.39275
ASTURIAS,OVIEDO,OVIEDO,33011,"CALLE MOLIN DE LA CASUCA, S/N",-5.8181389999999995,43.388806
ASTURIAS,OVIEDO,CUYENCES,33194,"GLORIETA ELEVADA DE LA CORREDORIA SOBRE LA AS-II, SN",-5.830056,43.386194
ASTURIAS,OVIEDO,OVIEDO,33012,CL CUDILLERO -ESQ.C/CATEDR.LUIS SEL,-5.873333000000001,43.365556
ASTURIAS,OVIEDO,PANDO (EL),33195,"CARRETERA AS 242 KM. 1,600",-5.828639,43.34875
ASTURIAS,OVIEDO,TRUBIA,33119,CARRETERA NACIONAL 634 KM. 224,-5.966194000000001,43.354278
ASTURIAS,OVIEDO,OVIEDO,33199,"LAS MAZAS, 55 (SAN CLAUDIO)",-5.898833,43.359806
ASTURIAS,PENAMELLERA BAJA,PANES,33570,"CR N-621, 176",-4.583,43.327472
ASTURIAS,PILONA,PILONA,33530,"CALLE COVADONGA, 37",-5.360666999999999,43.345139
ASTURIAS,PILONA,SEVARES,33584,"CARRETERA N-634 KM. 353,7",-5.271472,43.365860999999995
ASTURIAS,PRAVIA,PRAVIA,33120,"CALLE LA FONTANA, S/N",-6.106194,43.488471999999994
