id,provincia,municipio,localidad,codigo_po,direccion,longitud,latitud
gasolinera_192,MURCIA,JUMILLA,JUMILLA,30520,AVENIDA LEVANTE (DE), 42,-1,321806,38,475028
gasolinera_193,MURCIA,LORCA,LORCA,30800,CAMINO VILLAESPESA S/N APDO.217,-1,644972,37,6835
gasolinera_194,MURCIA,MAZARRON,MAZARRON,30870,AVENIDA DE LAS MORERAS, S/N,-1,316611,37,592972
gasolinera_195,MURCIA,MULA,MULA,30170,CARRETERA DE PLIEGO, S-No KM. 1,-1,499194,38,027806
gasolinera_196,MURCIA,MURCIA,BANOS Y MENDIGO,30153,SAN JAVIER km 1,2,-1,107194,37,867139
gasolinera_197,MURCIA,YECLA,YECLA,30510,C-3314 Km. 64,9,-1,102611,38,614667
gasolinera_198,NAVARRA,ALTSASU/ALSASUA,ALTSASU/ALSASUA,31800,AUTOVIA A1, KM. 402,-2,178556,42,896861
gasolinera_199,RIOJA (LA),CALAHORRA,CALAHORRA,26500,CARRETERA SAN ADRIAN S/N KM.,-1,953694,42,31225
gasolinera_200,NAVARRA,PAMPLONA/IRUNA,PAMPLONA/IRUNA,31006,CALLE SADAR S/N, S/N,-1,645583,42,797694
gasolinera_201,NAVARRA,CASTEJON,CASTEJON,31590,CARRETERA N-113 KM. 77,-1,696611,42,179222
gasolinera_202,NAVARRA,BAZTAN,MUGAIRI(ORONOZ),31720,CR N-121, 48,-1,611139,43,137472
gasolinera_203,NAVARRA,LESAKA,LESAKA,31770,ZIOBI,6. POL. INDUSTRIAL ALKAIAGA,-1,692167,43,279444
gasolinera_204,NAVARRA,BERBINZANA,BERBINZANA,31252,CTRA. LERIN S/N,-1,837889,42,522889
gasolinera_206,NAVARRA,CINTRUENIGO,CINTRUENIGO,31592,CARRETERA N-113 KM. 91,5,-1,79675,42,076944
gasolinera_207,MALAGA,ANTEQUERA,ANTEQUERA,29200,LUGAR RESIDENCIA DE LA VEGA, 1,-4,538417,37,026861
gasolinera_208,MALAGA,CASABERMEJA,CASABERMEJA,29160,A-45 km 147,8,-4,429333,36,897833
gasolinera_209,MALAGA,RONDA,RONDA,29400,CALLE DON FRANCISCO CARRILLO DE MENDOZA Y MORALES, 1,-5,153194,36,754361
gasolinera_210,MALAGA,COIN,COIN,29100,AVENIDA REINA SOFIA, S/N,-4,746917,36,664278
