Fichero actualizado a fecha: 2020-12-20 10:29:57
"Nombre del Organismo";"Descripción";"DatosPersonales";"Dirección";"Calle";"CodigoPostal";"Localidad";"Localidad";"SoloClasificar";"Teléfono";"Telefax oficial";"Fax";"e-mail";"Páginas de internet";"Posicion";"Información adicional";Directorio Superior;Identificador Directorio Superior;Identificador;ultimaActualizacion;Enlace al contenido;
"Punto de recarga público operativo tipo Schuko marca Ingeteam";;;;"C/República Dominicana";"34002";"Palencia";"1179298104011";;;;;;;"42.028402#-4.533417#100";;;"";1284195514791;20140523;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195514791/DirectorioPadre";
"1 toma tipo Mennekes con cable de adaptación para Yazaki";;"Parking exterior privado. Naturávila";;"Antigua carretera Cebreros km 3";"05200";"Ávila";"1179297192941";;;;;;;"40.627566#-4.647871#100";;;"";1284323285654;20140515;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284323285654/DirectorioPadre";
"Punto de recarga público operativo tipo Schuko marca Ingeteam";;"Parque Comercial Arambol";;"Avda. de Brasilia";"34004";"Palencia";"1179298104011";;;;;;;"42.011161#-4.519173#88";;;"";1284204146696;20140609;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284204146696/DirectorioPadre";
"Punto de recarga privado tipo Chademo";;"Estación de Servicio REPSOL";;"Avenida de Asturias, 38";"34005";"Palencia";"1179298104011";;;;;;;"42.025748#-4.548834#82";;;"";1284324625701;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284324625701/DirectorioPadre";
"2 puntos de recarga en parking público soterrado tipo Schuko";;"Plaza Mayor";;"Plaza de la Libertad, 1";"09003";"Burgos";"1179297447397";;;;;;;"42.341313#-3.700102#88";;;"";1284360906066;20140829;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284360906066/DirectorioPadre";
"1 punto de recarga";;"Parador de Ávila. Parking exterior privado. Domicilio particular.";;"C/ Marqués Canales y Chozas, 2";"05001";"Ávila";"1179297192941";;;;;;;"40.657972#-4.702047#100";;;"";1284360128493;20140827;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284360128493/DirectorioPadre";
"1 punto de recarga en parking interior privado tipo Schuko";;"Hotel Raíz Guzmán";;"Carretera de Circunvalación R30, s/n";"09300";"Roa";"1179297611381";;;;;;;"41.701539#-3.923784#88";;;"";1284361924162;20140901;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284361924162/DirectorioPadre";
"Punto de recarga público operativo";;"Ente Regional de la Energía (EREN)";;"Avda. Reyes Leoneses, 11";"24008";"León";"1179297861059";;;;;;;"42.6094863#-5.5862191#88";;;"";1284204162266;20140521;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284204162266/DirectorioPadre";
"3 Puntos de recarga privados operativos: 1 tipo Schuko  (proyecto piloto) y otros dos tipo Schuko y Mennekes";;"Policía Municipal";;"C/ Ortega y Gasset";"34004";"Palencia";"1179298104011";;;;;;;"42.003478#-4.520037#88";;;"";1284204135838;20141117;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284204135838/DirectorioPadre";
"1 toma tipo Mennekes con cable de adaptación para Yazaki, marca Mobility";;"Público";;"Plaza del Real";"05200";"Arévalo";"1179297191824";;;;;;;"41.064507#-4.720646#82";;;"";1284323287282;20140520;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284323287282/DirectorioPadre";
