id,name,formatted_address,latitude,longitude,province
punto_recarga_82,Apartamentos Maier,"Calle San Nicolás, 4, 11002 Cádiz",36.52945,-6.301842,Cádiz
punto_recarga_83,Estación de Autobuses de Jerez De La Frontera,"11401 Jerez de la Frontera, Cádiz",36.6795451,-6.126471,Cádiz
punto_recarga_84,Estación de Autobuses de Cádiz,"Av. Astilleros, 302, 11007 Cádiz",36.5269719,-6.2862034000000016,Cádiz
punto_recarga_85,Estación de autobuses San Bernardo,"Calle San Bernardo, 1B, 11207 Algeciras, Cádiz",36.12594770000001,-5.4478547,Cádiz
punto_recarga_86,Estación de Puerto Real,"11 11510, Ctra. de Circunvalación, 9, 11510 Puerto Real, Cádiz",36.5309599,-6.185581299999999,Cádiz
punto_recarga_87,Córdoba,"Glorieta Tres Culturas, s/n, 14011 Córdoba",37.8884888,-4.7895246,Córdoba
punto_recarga_88,Estación ITV Córdoba (C/Ingeniero Torres Quevedo) - VEIASA,"Calle Ingeniero Torres Quevedo, s/n, Polígono Industrial La Torrecilla, 14013 Córdoba",37.8519866,-4.791938399999999,Córdoba
punto_recarga_89,Estación Berja,"04760 Berja, Almería",36.84064,-2.9473,Almería
punto_recarga_90,El Ejido,"04700 El Ejido, Almería",36.77304,-2.80813,Almería
punto_recarga_91,Enix,"04729 Enix, Almería",36.8772694,-2.601775,Almería
punto_recarga_92,Iberdrola Charging Station,"1470, N-340a, 04410 Benahadux",37.655001,-1.711529,Almería
punto_recarga_93,Estación de carga de vehículos eléctricos,"Plaza de Aragón, 22300 Barbastro, Huesca",42.035351,0.1213713,Huesca
punto_recarga_94,Estación de carga de vehículos eléctricos,"Plaza Cortes de Aragón, 5, 22700 Jaca, Huesca",42.5695049,-0.5510974000000001,Huesca
punto_recarga_95,Estacíon de Binefar Adif,"Av. de Aragon, S/N, 22500 Binéfar, Huesca",41.84975479999999,0.29138600000000003,Huesca
punto_recarga_96,Estacíon de Grañen Adif,"Calle, Ronda de Aragón, S/N, 22260 Grañén, Huesca",41.937981,-0.3693002,Huesca
punto_recarga_97,Estación de Servicio Repsol,"Calle Corona de Aragón, 52 IZ, 22300 Barbastro, Huesca",42.0346932,0.1282539,Huesca
punto_recarga_98,Canfranc,"22880 Canfranc-Estación, Huesca",42.751471,-0.514641,Huesca
punto_recarga_99,Ayerbe,"22800 Ayerbe, Huesca",42.27561,-0.682569,Huesca
punto_recarga_100,Tesla Destination Charger,"Calle de San Roque, 1, 6, 50230 Alhama de Aragón, Zaragoza",41.294603,-1.896894,Zaragoza
punto_recarga_101,Tesla Supercharger,"Camino de la Paridera de Costa, 50012 Zaragoza",41.6241118,-1.0109892,Zaragoza
punto_recarga_102,IBIL Charging Station,"Av. de Casablanca, 11, 50019 Zaragoza",41.6231572,-0.9392437,Zaragoza
punto_recarga_103,Iberdrola Clientes Charging Station,"Calle Teatro Malibrán, 28, 50021 Zaragoza",41.6077,-0.8914,Zaragoza
punto_recarga_104,Zoilo Ríos Estación de carga,"Autovía de Logroño, 0,300, 50011 Zaragoza",41.6604005,-0.9250773,Zaragoza
punto_recarga_105,Supercargador TESLA,"Calle Carr. de madrid, 50220 Ariza, Zaragoza",41.3131364,-2.0026174,Zaragoza
punto_recarga_106,Puntos de Recarga,"Av. de Salvador Allende, 105, Local, 50015 Zaragoza",41.67785960000001,-0.8722631999999999,Zaragoza
punto_recarga_107,Estacíon de Alhama De Aragon Adif,"Carretera Estacion Ferrocarril, S/N, 50230 Alhama de Aragón, Zaragoza",41.2943278,-1.9043271,Zaragoza
punto_recarga_108,Estación de Servicio Repsol,"A-68, P.K. 258,25 DE, 50692 Villarrapa, Zaragoza",41.74049249999999,-1.0789535,Zaragoza
punto_recarga_109,Cariñena,"50400 Cariñena, Zaragoza",41.335586,-1.228422,Zaragoza
punto_recarga_110,Zaragoza-Delicias,"Av. Navarra, 80, 50011 Zaragoza",41.65869379999999,-0.911226,Zaragoza
punto_recarga_111,Zaragoza Plaza,"Unnamed Road, Zaragoza",41.6772633,-0.9442944,Zaragoza
punto_recarga_112,Repsol,"A-2, Km 202, 50292 Cetina, Zaragoza",41.3027424,-1.9457493,Zaragoza
punto_recarga_113,Zaragoza-Delicias,"Calle Rioja, 33, 50011 Zaragoza",41.6578469,-0.9091052,Zaragoza
punto_recarga_114,Caspe,"50700 Caspe, Zaragoza",41.239738,-0.042701,Zaragoza
punto_recarga_115,Gallur,"50650, Zaragoza",41.867164,-1.321342,Zaragoza
punto_recarga_116,Luceni,"50640 Luceni, Zaragoza",41.826116,-1.243536,Zaragoza
punto_recarga_117,Estación de Servicio Repsol,"Cr N-330, 491,9 I, 50019 Zaragoza",41.6210922,-0.9150136000000001,Zaragoza
punto_recarga_118,Estación de Servicio Repsol,"Av. Isla de Murano, S.N, 50021 Zaragoza",41.6097869,-0.8819564999999999,Zaragoza
punto_recarga_119,Estación de Servicio Repsol,"Av. de la Ilustración, 1, 50012 Zaragoza",41.62685949999999,-0.9227649,Zaragoza
punto_recarga_120,"OFICINAS CENTRALES ZOILO RIOS, S.A.","Autovía de Logroño. p.k.0.300, 50011 Zaragoza",41.6604906,-0.9255567999999998,Zaragoza
punto_recarga_121,IBIL Charging Station,"Local, Carr. Zaragoza, 20, 31500",42.0355435,-1.5885234,Zaragoza
punto_recarga_122,Iberdrola Charging Station,"Av. Zaragoza, 20, 31397 Campanas, Navarra",42.688372,-1.6518488999999998,Zaragoza
punto_recarga_123,Tesla Supercharger,"43896 L'Aldea, Tarragona",40.7529908,0.6064046999999999,Tarragona
punto_recarga_124,Fayón-La Pobla de Massaluca,"43783, Tarragona",41.2250312,0.35111190000000003,Tarragona
punto_recarga_125,Etecnic Charging Station,"Av. de les Comarques Catalanes, 2, 43740 Móra d'Ebre, Tarragona",41.089721,0.6433639999999999,Tarragona
punto_recarga_126,Etecnic Charging Station,"Plaça de Catalunya, 15, 43770 Móra la Nova, Tarragona",41.097721,0.648795,Tarragona
punto_recarga_127,Estació,43004 Tarragona,41.1115,1.252892,Tarragona
punto_recarga_128,ETECNIC Energy & Mobility,"Av. dels Països Catalans, 38, 43206 Reus, Tarragona",41.1552949,1.0970628,Tarragona
punto_recarga_129,SmartMobility Iberdrola,"Ctra. Corella, 2, 31500 Tudela, Navarra",42.0623331,-1.6200549,Navarra
punto_recarga_130,Iberdrola Estación de carga,"Av. San Ignacio, 10, 31002 Pamplona, Navarra",42.8140125,-1.6430653000000002,Navarra
punto_recarga_131,Iberdrola Clientes Charging Station,"Calle Carlos VII, 22, 31200 Estella, Navarra",42.66445,-2.03245,Navarra
punto_recarga_132,Tesla Destination Charger,"Parque Senda Viva, 31513 Arguedas, Navarra",42.18844800000001,-1.579636,Navarra
punto_recarga_133,Iberdrola Clientes Charging Station,"Av. de Burgos, 49, 26006 Logroño, La Rioja",42.4615534,-2.4692679,La Rioja
punto_recarga_134,Iberdrola Estación de carga,"Calle Bebricio, 71, 26500 Calahorra, La Rioja",42.306587,-1.971331,La Rioja
punto_recarga_135,Punto de carga para vehículos eléctricos,"Av. de La Rioja, 14, 26001 Logroño, La Rioja",42.4639505,-2.4468479,La Rioja
punto_recarga_136,Fenie Energía Estación de carga,"26330, La Rioja",42.53985000000001,-2.7785177000000005,La Rioja
punto_recarga_137,Recarga eléctrica de coches y motos,"Calle Prado Viejo, 70, 26007 Logroño, La Rioja",42.45278829999999,-2.4717361,La Rioja
punto_recarga_138,Tesla Destination Charger,"Calle Lérida, 1, 26006 Logroño, La Rioja",42.462715,-2.4205330000000003,La Rioja
punto_recarga_139,Fenie Energia Charging Station,"Paseo San Julián, 8, 26300 Nájera, La Rioja",42.41599799999999,-2.7313679,La Rioja
punto_recarga_140,Cargador coches de bateria,"Paseo San Julián, 4, 26300 Nájera, La Rioja",42.4168444,-2.7317457000000003,La Rioja
punto_recarga_141,Tesla Destination Charger,"Paseo de la Constitucion, 97, 26580 Arnedo, La Rioja",42.2245739,-2.108609,La Rioja
punto_recarga_142,ENDESA Charging Station,"Av. Gran Vía Juan Carlos I, 26B, 26001 Logroño, La Rioja",42.463955,-2.44955,La Rioja
punto_recarga_143,Iberdrola Charging Station,"Calle de Gregoria Artacho, 37, 26350 Cenicero, La Rioja",42.48172599999999,-2.648003,La Rioja
punto_recarga_144,Logroño,"Avenida de España, 1, 26003 Logroño, La Rioja, La Rioja",42.4604484,-2.4451785,La Rioja
punto_recarga_145,Estacíon de Logroño Adif,"Av. de Colón, 83, 26003 Logroño, La Rioja",42.4577319,-2.4409029,La Rioja
punto_recarga_146,Grupo Arnedo,"Av. del Ebro, 9, 26160 Agoncillo, La Rioja",42.435487,-2.2796663,La Rioja
punto_recarga_147,Estacíon de Haro Adif,"Calle Estación del Ferrocarril, S/N, 26200 Haro, La Rioja",42.5836265,-2.8492737,La Rioja
punto_recarga_148,ESTACIONES ARNEDO,"N-232, KM. 367, 26510 Pradejón, La Rioja",42.319129,-2.0514346000000003,La Rioja
punto_recarga_149,Estación de Servicio Petronor - Repsol,"E.S, AU AP-68 P.K. 100,00 D, 26340 San Asensio, La Rioja",42.5115959,-2.7543183,La Rioja
