name,formatted_address,latitude,longitude
Estación de Servicio Repsol,"CR N-634 P.K. 232,50 D, 39300 Sierrapando, Cantabria",43.3409994,-4.0294241
Estación de Servicio El Centro,"Av. Cantabria, 1495, 39318 Cudón, Cantabria",43.41383,-4.011240000000001
Estación De Servicio Martínez Castanedo Hermanos,"Calle Reconquista de Sevilla, 15, 39770 Laredo, Cantabria",43.4102385,-3.4128642
Estación de Servicio Repsol,"N-611 Km. 182,00 I, 39311 Cartes, Cantabria",43.3327124,-4.0658406000000005
Estación de servicio Cepsa,"CTRA. BERANGA-NOJA P.K. 4,700, LOS BEREZALES S/N, 39213 Bolmir, Cantabria",42.986360999999995,-4.134083
Gasolinera Nieves Torrelavega,"Calle Barrio Sierrapando, 371, 39300 Torrelavega, Cantabria",43.3426669,-4.030134600000001
Estación de Servicio Repsol,"Ca-142, 5,8 DE, 39690 Villanueva, Cantabria",43.3616999,-3.8598492999999996
Estación de servicio Cepsa,"Calle Aurelio García Cantalapiedra, S/n, 39300 Torrelavega, Cantabria",43.33273579999999,-4.047605600000001
Estación de Servicio Petronor - Repsol,"Cr N-611, 163,2 I, 39450 Arenas de Iguña, Cantabria",43.1819906,-4.052447799999999
Estación de servicio Cepsa,"Po, Av. de Joaquin Fernandez Vallejo, 12, 39300 Torrelavega, Cantabria",43.343588700000005,-4.0463771
Estación de servicio Cepsa,"N-634, Pk 244, 7, 39500 Cabezón de la Sal, Cantabria",43.323374,-4.193078
Estacíon de Mataporquera Adif,"Calle de la Constitución, 17, 39410 Mataporquera, Cantabria",42.8711079,-4.164958299999999
Estación de Servicio Repsol,"Cr N-623, 116 I 39699, Villegar, Cantabria",43.2194002,-3.944057099999999
Gasolinera Cepsa,"Barrio la Sota Cr Sv-4303, Barrio la Sota, Pk 1,5, 39794 Anero, Cantabria",43.39109939999999,-3.6650156000000003
Área de Servicio AVIA Fombellida,"Ctra. Km.130,1, N-611, 39211 Fombellida, Cantabria",42.940108,-4.123334
Santander,"39008 Santander, Cantabria",43.4583294,-3.8109762999999988
Los Corrales de Buelna,"39400 Los Corrales de Buelna, Cantabria",43.255076,-4.063922
Wenea Estación de carga,"Arraiz Bidea, 116, 48002 Bilbo, Bizkaia",43.2415141,-2.9604141
Estación de servicio Cepsa,"N-611, Pk 197, 39478 Arce, Cantabria",43.408475,-3.945767
Repsol,"Calle Santander, 15, 39500 Cabezón de la Sal, Cantabria",43.309371,-4.234989
Transportes El Centro,"Av. Cantabria, 1495, 39318 Cudón, Cantabria",43.41383,-4.011240000000001
Estación de Esquí y Montaña Alto Campoo,"Carretera Reinosa-Alto Campoo km 24, 39210, Cantabria",43.0371406,-4.3735884999999985
NACEX,"Pol. Ind. Candina, Av. Candina, 20, 39011 Santander, Cantabria",43.452420399999994,-3.8316668
NACEX,"Calle la Quinta, 27, 39750 Colindres, Cantabria",43.3936682,-3.4499529000000004
Repsol Soto Iruz,"CA-270, S/N Km. 200, 39691 Santiurde de Toranzo, Cantabria",43.2728935,-3.9352861000000003
Iberdrola Estación de carga,"Av. Adolfo Suárez, 30, 16400 Tarancón, Cuenca",40.0063516,-3.0189852000000004
Estación de Carga para Vehículo Eléctricos,"Calle Don Quijote de la Mancha, 6, 02610 El Bonillo, Albacete",38.9524915,-2.5373962000000003
Estación de carga de vehículos eléctricos,"Calle Sector 12, 46P, 45280, Toledo",39.9450219,-3.9966510000000004
Estación de carga de vehículos eléctricos,"Av. de Elena Soriano, 10A, 28597 Fuentidueña de Tajo, Madrid",40.1186841,-3.1618849
Estación de carga de vehículos eléctricos,"28597 Fuentidueña de Tajo, Madrid",40.1201168,-3.1522568
Estación de carga de vehículos eléctricos,"45200 Illescas, Toledo",40.1525151,-3.8363647000000003
Estación de carga de vehículos eléctricos,"Calle Valhondo, 3V, 45520 Villaluenga de la Sagra, Toledo",40.043083,-3.9172432
Endesa Estación de carga,"Av. de los Alcotanes, 2, 28320 Pinto, Madrid",40.246435999999996,-3.7106199999999996
Estacion de Carga de Vehiculos Eléctricos,"Calle Rio, 1, 45642 Cardiel de los Montes, Toledo",40.0627739,-4.653042
Chargemaster Charging Station,"HOTEL LA ATALAYA - CARGACOCHES, Autovía del Este, km 62.500, 28597 Fuentidueña de Tajo, Madrid",40.12010600000001,-3.152257
IBIL Charging Station,"19208 Alovera, Guadalajara",40.5794647,-3.2358245
Iberdrola Charging Station,Km 57 A-4 Ocaña 45300 ES,39.96833,-3.5468629999999997
Wenea Estación de carga,"Av. de Madrid, 1, 45950 Casarrubios del Monte, Toledo",40.2502787,-4.0552391000000005
Tesla Supercharger,"Carretera N-iv K-173,100, 29, 13200 Manzanares, Cdad. Real",39.0063666,-3.3832406
Chargemaster Charging Estación de carga,"HOTEL BEATRIZ TOLEDO AUDITORIUM & SPACalle Concilios de, 45005, Toledo",39.877496,-4.042406600000001
ENDESA Charging Station,"Av. de Andalucía, 204, 28341 Valdemoro, Madrid",40.21,-3.681
Iberdrola Charging Station,"Area de Servicio Taray, 13210 Villarta de San Juan, Cdad. Real",39.250521899999995,-3.430358
Iberdrola Clientes Charging Station,"N-430, 309, 13005 Ciudad Real, Cdad. Real",38.9873468,-3.9140912000000005
Charge and Parking Charging Station,"A-3, 62, 28597 Fuentidueña de Tajo, Madrid",40.1201162,-3.1522142000000004
Iberdrola Charging Station,"1 Plaza de España, 16710 Atalaya del Cañavate",39.538723,-2.254855
ENDESA Charging Station,"1, N-II, 19192 Trijueque",40.774409999999996,-2.99439
Estación de carga de vehículos eléctricos,"Calle Mayor Alta, 147, 28540 Perales de Tajuña, Madrid",40.239723,-3.3525521
ENDESA Charging Station,"Calle Camino de Bastos, 6, 28600 Navalcarnero, Madrid",40.2914249,-4.0033889999999985
Tesla Destination Charger,"2 Calle Infante Don Juan Manuel, 16640 Belmonte",39.560724,-2.702476
Tesla Destination Charger,"no name, Calle de Pedro Oviedo, 8, 13270 Almagro, Cdad. Real",38.888267,-3.7173870000000004
Tesla Destination Charger,"Autovía de Extremadura, Salida, 163, 10392 Isla de Valdecanas, Cáceres",39.837071,-5.379258
Iberdrola Charging Station,"6, CM-5102, 45560 Oropesa",39.926884,-5.18534
Tesla Destination Charger,"Av. Escritor Rodrigo Rubio, 11, 02006 Albacete",39.007791499999996,-1.8835113999999997
Estación de carga de vehículos eléctricos,"Av. de la Constitución, 106, 28850 Torrejón de Ardoz, Madrid",40.458217,-3.4669382000000004
Estación de carga de vehículos eléctricos,"28110 Algete, Madrid",40.5970936,-3.5075498999999994
ENDESA Charging Station,"Av. Río Guadalquivir, 1, 28906 Getafe, Madrid",40.272625,-3.6941599999999997
Tesla Supercharger,"Av. Ada Lovelace, 23, 28906 Getafe, Madrid",40.2903543,-3.6963012
