Origen;Destino;Distance_m;Distance_km
Albacete Bus;Cordoba Tren;389239;389239
Albacete Bus;Cordoba Bus;388958;388958
Albacete Bus;Cuenca Tren;144194;144194
Albacete Bus;Cuenca Bus;143956;143956
Albacete Bus;Girona Tren;636595;636595
Albacete Bus;Girona Bus;638640;638.64
Albacete Bus;Granada Tren;411446;411446
Albacete Bus;Granada Bus;408546;408546
Albacete Bus;Guadalajara Tren;289779;289779
Albacete Bus;Guadalajara Bus;289468;289468
Albacete Bus;Huelva Tren;620800;620.8
Albacete Bus;Huelva Bus;619167;619167
Albacete Bus;Huesca Tren;456069;456069
Albacete Bus;Huesca Bus;455949;455949
Albacete Bus;Jaen Tren;326558;326558
Albacete Bus;Jaen Bus;328792;328792
Albacete Bus;Leon Tren;597818;597818
Albacete Bus;Leon Bus;597431;597431
Albacete Bus;Lerida Tren;506866;506866
Albacete Bus;Lerida Bus;505297;505297
Albacete Bus;Logrono Tren;559532;559532
Albacete Bus;Logrono Bus;558804;558804
Albacete Bus;Lugo Tren;761502;761502
Albacete Bus;Lugo Bus;760206;760206
Albacete Bus;Madrid Tren;254693;254693
Albacete Bus;Madrid Bus;253609;253609
Albacete Bus;Malaga Tren;531481;531481
Albacete Bus;Malaga Bus;530906;530906
Albacete Bus;Murcia Tren;145326;145326
Albacete Bus;Murcia Bus;145453;145453
Albacete Bus;Ourense Tren;763179;763179
Albacete Bus;Ourense Bus;763558;763558
Albacete Bus;Oviedo Tren;711442;711442
Albacete Bus;Oviedo Bus;708711;708711
Albacete Bus;Palencia Tren;522075;522075
Albacete Bus;Palencia Bus;524124;524124
Albacete Bus;Pamplona Tren;624491;624491
Albacete Bus;Pamplona Bus;620986;620986
Albacete Bus;Pontevedra Tren;873864;873864
Albacete Bus;Pontevedra Bus;873477;873477
Albacete Bus;Salamanca Tren;475228;475228
Albacete Bus;Salamanca Bus;476592;476592
Albacete Bus;San Sebastian Tren;696533;696533
Albacete Bus;Santander Tren;698631;698631
Albacete Bus;Santander Bus;698329;698329
Albacete Bus;Segovia Tren;352255;352255
Albacete Bus;Segovia Bus;353588;353588
Albacete Bus;Sevilla Tren;521541;521541
Albacete Bus;Sevilla Bus;525287;525287
Albacete Bus;Soria Tren;457600;457.6
Albacete Bus;Soria Bus;459869;459869
Albacete Bus;Tarragona Tren;452842;452842
Albacete Bus;Tarragona Bus;451148;451148
Albacete Bus;Teruel Tren;208994;208994
Albacete Bus;Teruel Bus;208994;208994
Albacete Bus;Toledo Tren;247578;247578
Albacete Bus;Toledo Bus;249509;249509
Albacete Bus;Valencia Tren;184868;184868
Albacete Bus;Valencia Bus;188099;188099
Albacete Bus;Valladolid Tren;450081;450081
Albacete Bus;Valladolid Bus;449887;449887
Albacete Bus;Vitoria Tren;596368;596368
Albacete Bus;Vitoria Bus;599935;599935
Albacete Bus;Zamora Tren;515415;515415
Albacete Bus;Zamora Bus;513824;513824
Albacete Bus;Zaragoza Tren;387053;387053
Alicante Tren;A Corunia Tren;1014072;1014072
Alicante Tren;A Corunia Bus;1014734;1014734
Alicante Tren;Albacete Tren;166682;166682
Alicante Tren;Albacete Bus;166525;166525
Alicante Tren;Alicante Tren;0;0.0
Alicante Tren;Alicante Bus;968;968
Alicante Tren;Almeria Tren;289648;289648
Alicante Tren;Avila Tren;533458;533458
Alicante Tren;Avila Bus;532960;532.96
Alicante Tren;Badajoz Tren;691574;691574
Alicante Tren;Badajoz Bus;686749;686749
Alicante Tren;Barcelona Tren;521756;521756
Alicante Tren;Barcelona Bus;526765;526765
Alicante Tren;Bilbao Tren;803550;803.55
Alicante Tren;Bilbao Bus;805823;805823
Alicante Tren;Burgos Tren;654697;654697
Alicante Tren;Burgos Bus;648741;648741
Alicante Tren;Caceres Tren;673616;673616
Alicante Tren;Caceres Bus;674512;674512
Alicante Tren;Cadiz Tren;639003;639003
Alicante Tren;Cadiz Bus;638950;638.95
Alicante Tren;Castellon Tren;248057;248057
Alicante Tren;Castellon Bus;247918;247918
Alicante Tren;Ciudad Real Tren;381923;381923
Alicante Tren;Ciudad Real Bus;382099;382099
Alicante Tren;Cordoba Tren;552096;552096
Alicante Tren;Cordoba Bus;551816;551816
Alicante Tren;Cuenca Tren;307052;307052
Alicante Tren;Cuenca Bus;306814;306814
Alicante Tren;Girona Tren;616331;616331
Alicante Tren;Girona Bus;618376;618376
Alicante Tren;Granada Tren;349224;349224
Alicante Tren;Granada Bus;349622;349622
Alicante Tren;Guadalajara Tren;452637;452637
Alicante Tren;Guadalajara Bus;452326;452326
Alicante Tren;Huelva Tren;697692;697692
Alicante Tren;Huelva Bus;696059;696059
Alicante Tren;Huesca Tren;559991;559991
Alicante Tren;Huesca Bus;559871;559871
Alicante Tren;Jaen Tren;407182;407182
Alicante Tren;Jaen Bus;406577;406577
Alicante Tren;Leon Tren;760676;760676
Alicante Tren;Leon Bus;760289;760289
Alicante Tren;Lerida Tren;486602;486602
Alicante Tren;Lerida Bus;485032;485032
Alicante Tren;Logrono Tren;653286;653286
Alicante Tren;Logrono Bus;654730;654.73
Alicante Tren;Lugo Tren;924360;924.36
Alicante Tren;Lugo Bus;923064;923064
Alicante Tren;Madrid Tren;417551;417551
Alicante Tren;Madrid Bus;416467;416467
Alicante Tren;Malaga Tren;479258;479258
Alicante Tren;Malaga Bus;478683;478683
Alicante Tren;Murcia Tren;81502;81502
Alicante Tren;Murcia Bus;81629;81629
Alicante Tren;Ourense Tren;926037;926037
Alicante Tren;Ourense Bus;926416;926416
Alicante Tren;Oviedo Tren;874300;874.3
Alicante Tren;Oviedo Bus;871568;871568
Alicante Tren;Palencia Tren;684933;684933
Alicante Tren;Palencia Bus;686982;686982
Alicante Tren;Pamplona Tren;664978;664978
Alicante Tren;Pamplona Bus;661473;661473
Alicante Tren;Pontevedra Tren;1036722;1036722
Alicante Tren;Pontevedra Bus;1036335;1036335
Alicante Tren;Salamanca Tren;638085;638085
Alicante Tren;Salamanca Bus;639449;639449
Alicante Tren;San Sebastian Tren;748067;748067
Alicante Tren;Santander Tren;861489;861489
Alicante Tren;Santander Bus;861187;861187
Alicante Tren;Segovia Tren;515112;515112
Alicante Tren;Segovia Bus;516446;516446
Alicante Tren;Sevilla Tren;594232;594232
Alicante Tren;Sevilla Bus;600330;600.33
Alicante Tren;Soria Tren;620458;620458
Alicante Tren;Soria Bus;622726;622726
Alicante Tren;Tarragona Tren;432577;432577
Alicante Tren;Tarragona Bus;430883;430883
Alicante Tren;Teruel Tren;315123;315123
Alicante Tren;Teruel Bus;315123;315123
Alicante Tren;Toledo Tren;410435;410435
Alicante Tren;Toledo Bus;412367;412367
Alicante Tren;Valencia Tren;164604;164604
Alicante Tren;Valencia Bus;167835;167835
Alicante Tren;Valladolid Tren;612939;612939
Alicante Tren;Valladolid Bus;612745;612745
Alicante Tren;Vitoria Tren;759225;759225
Alicante Tren;Vitoria Bus;762793;762793
Alicante Tren;Zamora Tren;678273;678273
Alicante Tren;Zamora Bus;676682;676682
Alicante Tren;Zaragoza Tren;490975;490975
Alicante Bus;A Corunia Tren;1014347;1014347
Alicante Bus;A Corunia Bus;1015008;1015008
Alicante Bus;Albacete Tren;166957;166957
Alicante Bus;Albacete Bus;166800;166.8
Alicante Bus;Alicante Tren;1396;1396
Alicante Bus;Alicante Bus;0;0.0
Alicante Bus;Almeria Tren;289922;289922
Alicante Bus;Avila Tren;533732;533732
Alicante Bus;Avila Bus;533235;533235
Alicante Bus;Badajoz Tren;691849;691849
Alicante Bus;Badajoz Bus;687024;687024
Alicante Bus;Barcelona Tren;535799;535799
Alicante Bus;Barcelona Bus;540808;540808
Alicante Bus;Bilbao Tren;803825;803825
Alicante Bus;Bilbao Bus;806098;806098
Alicante Bus;Burgos Tren;654971;654971
Alicante Bus;Burgos Bus;649015;649015
Alicante Bus;Caceres Tren;673890;673.89
Alicante Bus;Caceres Bus;674786;674786
Alicante Bus;Cadiz Tren;639277;639277
Alicante Bus;Cadiz Bus;639224;639224
Alicante Bus;Castellon Tren;262100;262.1
Alicante Bus;Castellon Bus;261961;261961
Alicante Bus;Ciudad Real Tren;382197;382197
Alicante Bus;Ciudad Real Bus;382374;382374
Alicante Bus;Cordoba Tren;552371;552371
Alicante Bus;Cordoba Bus;552090;552.09
Alicante Bus;Cuenca Tren;307326;307326
Alicante Bus;Cuenca Bus;307088;307088
Alicante Bus;Girona Tren;630374;630374
Alicante Bus;Girona Bus;632419;632419
Alicante Bus;Granada Tren;349498;349498
Alicante Bus;Granada Bus;349897;349897
Alicante Bus;Guadalajara Tren;452911;452911
Alicante Bus;Guadalajara Bus;452600;452.6
Alicante Bus;Huelva Tren;697967;697967
Alicante Bus;Huelva Bus;696333;696333
Alicante Bus;Huesca Tren;574034;574034
Alicante Bus;Huesca Bus;573915;573915
Alicante Bus;Jaen Tren;407456;407456
Alicante Bus;Jaen Bus;406852;406852
Alicante Bus;Leon Tren;760950;760.95
Alicante Bus;Leon Bus;760563;760563
Alicante Bus;Lerida Tren;500645;500645
Alicante Bus;Lerida Bus;499076;499076
Alicante Bus;Logrono Tren;667329;667329
Alicante Bus;Logrono Bus;668773;668773
Alicante Bus;Lugo Tren;924634;924634
Alicante Bus;Lugo Bus;923338;923338
Alicante Bus;Madrid Tren;417825;417825
Alicante Bus;Madrid Bus;416741;416741
Alicante Bus;Malaga Tren;479532;479532
Alicante Bus;Malaga Bus;478957;478957
Alicante Bus;Murcia Tren;81776;81776
Alicante Bus;Murcia Bus;81903;81903
Alicante Bus;Ourense Tren;926311;926311
Alicante Bus;Ourense Bus;926690;926.69
Alicante Bus;Oviedo Tren;874574;874574
Alicante Bus;Oviedo Bus;871843;871843
Alicante Bus;Palencia Tren;685207;685207
Alicante Bus;Palencia Bus;687256;687256
Alicante Bus;Pamplona Tren;679022;679022
Alicante Bus;Pamplona Bus;675516;675516
Alicante Bus;Pontevedra Tren;1036996;1036996
Alicante Bus;Pontevedra Bus;1036609;1036609
Alicante Bus;Salamanca Tren;638360;638.36
Alicante Bus;Salamanca Bus;639724;639724
Alicante Bus;San Sebastian Tren;762110;762.11
Alicante Bus;Santander Tren;861763;861763
Alicante Bus;Santander Bus;861461;861461
Alicante Bus;Segovia Tren;515387;515387
Alicante Bus;Segovia Bus;516720;516.72
Alicante Bus;Sevilla Tren;594506;594506
Alicante Bus;Sevilla Bus;600604;600604
Alicante Bus;Soria Tren;620732;620732
Alicante Bus;Soria Bus;623001;623001
Alicante Bus;Tarragona Tren;446620;446.62
Alicante Bus;Tarragona Bus;444926;444926
Alicante Bus;Teruel Tren;329166;329166
Alicante Bus;Teruel Bus;329166;329166
Alicante Bus;Toledo Tren;410710;410.71
Alicante Bus;Toledo Bus;412641;412641
Alicante Bus;Valencia Tren;178669;178669
Alicante Bus;Valencia Bus;181900;181.9
Alicante Bus;Valladolid Tren;613213;613213
Alicante Bus;Valladolid Bus;613019;613019
Alicante Bus;Vitoria Tren;759500;759.5
Alicante Bus;Vitoria Bus;763067;763067
Alicante Bus;Zamora Tren;678547;678547
Alicante Bus;Zamora Bus;676956;676956
Alicante Bus;Zaragoza Tren;505018;505018
Almeria Tren;A Corunia Tren;1131324;1131324
Almeria Tren;A Corunia Bus;1131985;1131985
Almeria Tren;Albacete Tren;354500;354.5
Almeria Tren;Albacete Bus;354343;354343
Almeria Tren;Alicante Tren;289445;289445
Almeria Tren;Alicante Bus;288464;288464
Almeria Tren;Almeria Tren;0;0.0
Almeria Tren;Avila Tren;650710;650.71
Almeria Tren;Avila Bus;650212;650212
Almeria Tren;Badajoz Tren;615041;615041
Almeria Tren;Badajoz Bus;612962;612962
Almeria Tren;Barcelona Tren;791542;791542
